,headline,kicker,page,pub_date
0,Body Politics,David Brooks,6,2006-09-18T15:15:07Z
1,Will He Who Moves in Increments Win the Race?,David Brooks,6,2006-07-24T14:23:18Z
2,It May Not Take a Preschool to Raise a Child,David Brooks,6,2006-06-05T12:10:13Z
3,Love and Learn,David Brooks,6,2006-05-25T13:20:10Z
4,Do Culture Wars Trump Economics?,David Brooks,6,2006-02-21T14:13:08Z
5,On 'Longer Lives Reveal the Ties That Bind Us',David Brooks,6,2005-10-12T12:12:50Z
6,More Tools For Thinking,David Brooks,6,2011-03-29T13:40:02Z
7,Obesity and the Mind,David Brooks,6,2011-03-25T13:30:07Z
8,Leaving a Trail of Bread Crumbs in Iraq,David Brooks,6,2007-09-11T15:50:16Z
9,"What's So Funny 'Bout Peace, Love and Understanding?",David Brooks,6,2007-05-11T14:10:42Z
